2024-11-05 21:27:41,036 - Starting scraping of 2426 games
2024-11-05 21:27:41,102 - Game 718769 already scraped, skipping.
2024-11-05 21:27:41,104 - Game 718772 already scraped, skipping.
2024-11-05 21:27:41,110 - Game 718777 already scraped, skipping.
2024-11-05 21:27:41,111 - Game 718770 already scraped, skipping.
2024-11-05 21:27:41,116 - Game 718767 already scraped, skipping.
2024-11-05 21:27:41,120 - Game 718774 already scraped, skipping.
2024-11-05 21:27:41,127 - Game 718780 already scraped, skipping.
2024-11-05 21:27:41,129 - Game 718778 already scraped, skipping.
2024-11-05 21:27:41,132 - Game 718779 already scraped, skipping.
2024-11-05 21:27:41,132 - Game 718776 already scraped, skipping.
2024-11-05 21:27:41,136 - Game 718782 already scraped, skipping.
2024-11-05 21:27:41,136 - Game 718773 already scraped, skipping.
2024-11-05 21:27:41,136 - Game 718775 already scraped, skipping.
2024-11-05 21:27:41,140 - Game 718781 already scraped, skipping.
2024-11-05 21:27:41,140 - Game 718764 already scraped, skipping.
2024-11-05 21:27:41,140 - Game 718765 already scraped, skipping.
2024-11-05 21:27:41,144 - Game 718763 already scraped, skipping.
2024-11-05 21:27:41,148 - Game 718771 already scraped, skipping.
2024-11-05 21:27:41,152 - Game 718766 already scraped, skipping.
2024-11-05 21:27:41,152 - Game 718760 already scraped, skipping.
2024-11-05 21:27:41,152 - Game 718757 already scraped, skipping.
2024-11-05 21:27:41,156 - Game 718759 already scraped, skipping.
2024-11-05 21:27:41,156 - Game 718758 already scraped, skipping.
2024-11-05 21:27:41,160 - Game 718749 already scraped, skipping.
2024-11-05 21:27:41,160 - Game 718746 already scraped, skipping.
2024-11-05 21:27:41,164 - Game 718755 already scraped, skipping.
2024-11-05 21:27:41,168 - Game 718753 already scraped, skipping.
2024-11-05 21:27:41,168 - Game 718750 already scraped, skipping.
2024-11-05 21:27:41,172 - Game 718752 already scraped, skipping.
2024-11-05 21:27:41,176 - Game 718754 already scraped, skipping.
2024-11-05 21:27:41,180 - Game 718761 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718756 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718751 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718762 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718740 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718734 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718737 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718738 already scraped, skipping.
2024-11-05 21:27:41,184 - Game 718736 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718735 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718741 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718743 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718733 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718739 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718742 already scraped, skipping.
