home_team,away_team,year,month,day,game_pk,home_abbr,away_abbr,box_url,summary_url,home_pitchers,away_pitchers,home_batters,away_batters,home_position_players,away_position_players
angels,marlins,2023,5,28,717984,LAA,MIA,https://www.mlb.com/gameday/marlins-vs-angels/2023/05/28/717984/final/box,https://www.mlb.com/gameday/marlins-vs-angels/2023/05/28/717984/final/summary/all,663776(Top1)/657097(Top7)/571901(Top9),691587(Bot1)/595345(Bot6)/598264(Bot6)/677053(Bot7)/656945(Bot7)/608638(Bot9),666160(Bot1)/545361(Bot1)/660271(Bot1)/592273(Bot2)/665120(Bot2)/570482(Bot2)/642136(Bot2)/621493(Bot2)/670869(Bot3)/687263(Bot7)/592669(Bot7)/650859(Bot8)/595453(Bot9),641505(Top1)/624585(Top1)/650333(Top1)/643265(Top2)/650559(Top2)/493329(Top2)/516416(Top3)/663743(Top3)/641658(Top3),642136(Top1)(c)-665120(Top1)(1b)-592273(Top1)(2b)-570482(Top1)(3b)-670869(Top1)(ss)-621493(Top1)(lf)-545361(Top1)(cf)-666160(Top1)(rf)/687263(Top8)(ss)-592669(Top8)(rf)/650859(Top9)(2b),663743(Bot1)(c)-493329(Bot1)(1b)-650333(Bot1)(2b)-516416(Bot1)(3b)-641658(Bot1)(ss)-650559(Bot1)(lf)-641505(Bot1)(cf)-624585(Bot1)(rf)/621563(Bot8)(ss)
athletics,astros,2023,5,28,717980,OAK,HOU,https://www.mlb.com/gameday/astros-vs-athletics/2023/05/28/717980/final/box,https://www.mlb.com/gameday/astros-vs-athletics/2023/05/28/717980/final/summary/all,686610(Top1)/665622(Top2)/669674(Top7)/670183(Top9),664299(Bot1)/656786(Bot6)/664208(Bot7)/592773(Bot8)/606160(Bot9),676116(Bot1)/667670(Bot1)/664913(Bot1)/669127(Bot1)/668709(Bot1)/657656(Bot2)/643393(Bot2)/607054(Bot2)/669397(Bot2)/649557(Bot6),514888(Top1)/665161(Top1)/670541(Top1)/608324(Top1)/547989(Top2)/667452(Top2)/673237(Top2)/676694(Top3)/676801(Top3),669127(Top1)(c)-676116(Top1)(1b)-643393(Top1)(2b)-607054(Top1)(3b)-669397(Top1)(ss)-664913(Top1)(lf)-668709(Top1)(cf)-657656(Top1)(rf)/649557(Top7)(2b),673237(Bot1)(c)-547989(Bot1)(1b)-514888(Bot1)(2b)-608324(Bot1)(3b)-665161(Bot1)(ss)-667452(Bot1)(lf)-676694(Bot1)(cf)-676801(Bot1)(rf)
braves,phillies,2023,5,28,717992,ATL,PHI,https://www.mlb.com/gameday/phillies-vs-braves/2023/05/28/717992/final/box,https://www.mlb.com/gameday/phillies-vs-braves/2023/05/28/717992/final/summary/all,675911(Top1)/543521(Top7)/605446(Top8),592229(Bot1)/656546(Bot1)/628708(Bot3)/641401(Bot5)/621381(Bot6)/607755(Bot7),660670(Bot1)/621566(Bot1)/663586(Bot1)/669221(Bot1)/542303(Bot1)/592696(Bot1)/645277(Bot1)/606115(Bot1)/671739(Bot1)/607680(Bot8),681082(Top1)/607208(Top1)/547180(Top1)/592206(Top2)/656941(Top2)/592663(Top2)/665019(Top3)/669016(Top3)/624641(Top3),669221(Top1)(c)-621566(Top1)(1b)-645277(Top1)(2b)-663586(Top1)(3b)-606115(Top1)(ss)-592696(Top1)(lf)-671739(Top1)(cf)-660670(Top1)(rf)/607680(Top9)(lf),592663(Bot1)(c)-665019(Bot1)(1b)-681082(Bot1)(2b)-624641(Bot1)(3b)-607208(Bot1)(ss)-656941(Bot1)(lf)-669016(Bot1)(cf)-592206(Bot1)(rf)
brewers,giants,2023,5,28,717986,MIL,SF,https://www.mlb.com/gameday/giants-vs-brewers/2023/05/28/717986/final/box,https://www.mlb.com/gameday/giants-vs-brewers/2023/05/28/717986/final/summary/all,607067(Top1)/606303(Top7)/657265(Top8)/642207(Top8),502171(Bot1)/663941(Bot5)/676254(Bot8),592885(Bot1)/680911(Bot1)/661388(Bot1)/642133(Bot1)/605119(Bot1)/621438(Bot1)/668930(Bot1)/573131(Bot2)/686894(Bot2)/655316(Bot6),664774(Top1)/573262(Top1)/605204(Top1)/624424(Top1)/571745(Top1)/666165(Top2)/681584(Top2)/543063(Top2)/689172(Top3)/669477(Top9)/527038(Top9),661388(Top1)(c)-642133(Top1)(1b)-680911(Top1)(2b)-605119(Top1)(3b)-668930(Top1)(ss)-592885(Top1)(lf)-686894(Top1)(cf)-621438(Top1)(rf)/655316(Top6)(2b),666165(Bot1)(c)-664774(Bot1)(1b)-689172(Bot1)(2b)-681584(Bot1)(3b)-543063(Bot1)(ss)-571745(Bot1)(lf)-573262(Bot1)(cf)-624424(Bot1)(rf)
cubs,reds,2023,5,28,717987,CHC,CIN,https://www.mlb.com/gameday/reds-vs-cubs/2023/05/28/717987/final/box,https://www.mlb.com/gameday/reds-vs-cubs/2023/05/28/717987/final/summary/all,592767(Top1)/669093(Top5)/676714(Top5)/621074(Top7)/605242(Top9),668933(Bot1)/608371(Bot6)/664139(Bot7)/643361(Bot8)/664747(Bot9),663538(Bot1)/621020(Bot1)/664023(Bot1)/673548(Bot2)/666624(Bot2)/641820(Bot2)/643565(Bot2)/621550(Bot2)/543228(Bot2),663697(Top1)/680574(Top1)/668715(Top1)/663886(Top2)/656413(Top2)/669222(Top2)/621028(Top2)/641584(Top2)/676480(Top2)/670770(Top5)/666181(Top9),543228(Top1)(c)-641820(Top1)(1b)-663538(Top1)(2b)-621550(Top1)(3b)-621020(Top1)(ss)-664023(Top1)(lf)-643565(Top1)(cf)-673548(Top1)(rf),663886(Bot1)(c)-668715(Bot1)(1b)-621028(Bot1)(2b)-669222(Bot1)(3b)-680574(Bot1)(ss)-656413(Bot1)(lf)-676480(Bot1)(cf)-641584(Bot1)(rf)/670770(Bot5)(lf)/666181(Bot9)(lf)
d-backs,red-sox,2023,5,28,717981,AZ,BOS,https://www.mlb.com/gameday/red-sox-vs-d-backs/2023/05/28/717981/final/box,https://www.mlb.com/gameday/red-sox-vs-d-backs/2023/05/28/717981/final/summary/all,518876(Top1)/605177(Top7)/669459(Top8)/614179(Top8)/612434(Top9),656557(Bot1)/570257(Bot5)/601713(Bot6),656976(Bot1)/606466(Bot1)/682998(Bot1)/572233(Bot1)/666971(Bot1)/668942(Bot1)/672515(Bot1)/664983(Bot1)/672695(Bot2),657077(Top1)/646240(Top1)/457759(Top1)/807799(Top2)/680776(Top2)/671213(Top2)/571771(Top2)/665839(Top3)/657136(Top3)/608701(Top7)/622569(Top7)/606132(Top8)/624512(Top9),672515(Top1)(c)-572233(Top1)(1b)-606466(Top1)(2b)-668942(Top1)(3b)-672695(Top1)(ss)-666971(Top1)(lf)-682998(Top1)(cf)-664983(Top1)(rf),657136(Bot1)(c)-671213(Bot1)(1b)-665839(Bot1)(2b)-646240(Bot1)(3b)-571771(Bot1)(ss)-807799(Bot1)(lf)-680776(Bot1)(cf)-657077(Bot1)(rf)/622569(Bot7)(2b)/457759(Bot8)(2b)
guardians,cardinals,2023,5,28,717993,CLE,STL,https://www.mlb.com/gameday/cardinals-vs-guardians/2023/05/28/717993/final/box,https://www.mlb.com/gameday/cardinals-vs-guardians/2023/05/28/717993/final/summary/all,683769(Top1)/669212(Top5)/675540(Top7),656756(Bot1)/663855(Bot6)/572403(Bot8)/650893(Bot8)/664854(Bot9),680757(Bot1)/642708(Bot1)/608070(Bot1)/605137(Bot1)/672356(Bot1)/671289(Bot1)/572287(Bot2)/681807(Bot2)/664702(Bot2)/647304(Bot6)/665926(Bot7)/686823(Bot8),663457(Top1)/502671(Top1)/669357(Top1)/571448(Top2)/680977(Top2)/657557(Top2)/676475(Top2)/669242(Top3)/668800(Top3),572287(Top1)(c)-681807(Top1)(1b)-671289(Top1)(2b)-608070(Top1)(3b)-642708(Top1)(ss)-680757(Top1)(lf)-664702(Top1)(cf)-672356(Top1)(rf)/647304(Top7)(1b)-665926(Top7)(2b)/595956(Top9)(c),668800(Bot1)(c)-502671(Bot1)(1b)-669242(Bot1)(2b)-669357(Bot1)(3b)-657557(Bot1)(ss)-676475(Bot1)(lf)-663457(Bot1)(cf)-680977(Bot1)(rf)
mariners,pirates,2023,5,28,717983,SEA,PIT,https://www.mlb.com/gameday/pirates-vs-mariners/2023/05/28/717983/final/box,https://www.mlb.com/gameday/pirates-vs-mariners/2023/05/28/717983/final/summary/all,594835(Top1)/666374(Top6)/642100(Top7)/623437(Top8)/623149(Top8)/641627(Top9)/642048(Top10),682847(Bot1)/672710(Bot6)/670059(Bot8)/670280(Bot9)/596112(Bot10),641487(Bot1)/664034(Bot1)/677594(Bot1)/672284(Bot1)/553993(Bot1)/663728(Bot2)/606192(Bot2)/608596(Bot2)/676609(Bot2)/666211(Bot9),457705(Top1)/668804(Top1)/656582(Top1)/467793(Top2)/666801(Top2)/663647(Top2)/678225(Top2)/572008(Top3)/595978(Top3)/669261(Top8)/672779(Top9)/641943(Top9),608596(Top1)(c)-664034(Top1)(1b)-676609(Top1)(2b)-553993(Top1)(3b)-641487(Top1)(ss)-672284(Top1)(lf)-677594(Top1)(cf)-606192(Top1)(rf)/663728(Top10)(c),595978(Bot1)(c)-467793(Bot1)(1b)-666801(Bot1)(2b)-663647(Bot1)(3b)-572008(Bot1)(ss)-656582(Bot1)(lf)-678225(Bot1)(cf)-457705(Bot1)(rf)/669261(Bot6)(lf)/641511(Bot9)(c)-672779(Bot9)(ss)
orioles,rangers,2023,5,28,717990,BAL,TEX,https://www.mlb.com/gameday/rangers-vs-orioles/2023/05/28/717990/final/box,https://www.mlb.com/gameday/rangers-vs-orioles/2023/05/28/717990/final/summary/all,680694(Top1)/666974(Top7)/543056(Top8)/642585(Top9),674003(Bot1)/622250(Bot6)/666142(Bot7)/669618(Bot8)/667463(Bot8),656775(Bot1)/668939(Bot1)/669720(Bot1)/623993(Bot1)/663624(Bot1)/602104(Bot1)/683002(Bot2)/543510(Bot2)/622761(Bot2)/679631(Bot7)/624428(Bot8),543760(Top1)/608369(Top1)/663993(Top1)/666969(Top2)/673962(Top2)/641680(Top2)/608671(Top2)/543257(Top3)/665750(Top3)/669352(Top8),668939(Top1)(c)-663624(Top1)(1b)-602104(Top1)(2b)-683002(Top1)(3b)-622761(Top1)(ss)-669720(Top1)(lf)-656775(Top1)(cf)-623993(Top1)(rf)/624428(Top9)(2b)-663630(Top9)(rf),641680(Bot1)(c)-663993(Bot1)(1b)-543760(Bot1)(2b)-673962(Bot1)(3b)-608369(Bot1)(ss)-608671(Bot1)(lf)-665750(Bot1)(cf)-543257(Bot1)(rf)/669352(Bot8)(lf)
rays,dodgers,2023,5,28,717994,TB,LAD,https://www.mlb.com/gameday/dodgers-vs-rays/2023/05/28/717994/final/box,https://www.mlb.com/gameday/dodgers-vs-rays/2023/05/28/717994/final/summary/all,676596(Top1)/656222(Top7)/592094(Top8),694813(Bot1)/641360(Bot3)/571946(Bot5)/624647(Bot6)/660813(Bot7)/622075(Bot8),650490(Bot1)/677551(Bot1)/664040(Bot1)/623912(Bot1)/670623(Bot1)/666139(Bot1)/642350(Bot2)/670042(Bot2)/642336(Bot2),605141(Top1)/518692(Top1)/502110(Top1)/621035(Top2)/571970(Top2)/678246(Top2)/500743(Top2)/572204(Top2)/605131(Top2)/681546(Top4)/518792(Top9)/669257(Top9),642336(Top1)(c)-650490(Top1)(1b)-664040(Top1)(2b)-670623(Top1)(3b)-677551(Top1)(ss)-670042(Top1)(lf)-642350(Top1)(cf)-666139(Top1)(rf),605131(Bot1)(c)-518692(Bot1)(1b)-678246(Bot1)(2b)-571970(Bot1)(3b)-500743(Bot1)(ss)-621035(Bot1)(lf)-572204(Bot1)(cf)-605141(Bot1)(rf)/681546(Bot3)(cf)
