game_date,game_pk,batter_per_game,home_team_name,away_team_name,home_team_won,is_top_of_inning,inning,bo_state_index,home_score_diff,home_batter_index,away_batter_index,home_batting_order_0,home_batting_order_1,home_batting_order_2,home_batting_order_3,home_batting_order_4,home_batting_order_5,home_batting_order_6,home_batting_order_7,home_batting_order_8,home_dh,home_lost_dh,home_pitcher,home_bullpen_0,home_bullpen_1,home_bullpen_2,home_bullpen_3,home_bullpen_4,home_bullpen_5,home_bullpen_6,home_bullpen_7,home_bullpen_8,home_bench_0,home_bench_1,home_bench_2,home_bench_3,away_batting_order_0,away_batting_order_1,away_batting_order_2,away_batting_order_3,away_batting_order_4,away_batting_order_5,away_batting_order_6,away_batting_order_7,away_batting_order_8,away_dh,away_lost_dh,away_pitcher,away_bullpen_0,away_bullpen_1,away_bullpen_2,away_bullpen_3,away_bullpen_4,away_bullpen_5,away_bullpen_6,away_bullpen_7,away_bullpen_8,away_bench_0,away_bench_1,away_bench_2,away_bench_3,home_pitcher_batters_faced,home_pitcher_can_be_subbed,away_pitcher_batters_faced,away_pitcher_can_be_subbed,node_type,home_bullpen_9,home_bullpen_10,home_bullpen_11,home_bullpen_12,home_bullpen_13,home_bullpen_14,home_bench_4,home_bench_5,away_bullpen_9,away_bullpen_10,away_bullpen_11,away_bullpen_12,away_bullpen_13,away_bullpen_14,away_bench_4,away_bench_5,terminal_value,action_taken
2023-07-29,717214,1,HOU,TB,1,1,1,0,0,0,0,514888,665161,663656,608324,670541,547989,10,673237,676694,676801.0,False,686613.0,650556,593576,606160,641585,608665,656786,592773,664299,519151,667452,455117,643289,666197,650490,677551,664040,668227,670623,10,642350,622534,542194,623912.0,False,671737.0,518617,542888,664126,607192,663556,592094,596112,676534,621107,666139,650907,660644,670042,0,False,0,False,batter,656232,664208,-1,-1,-1,-1,-1,-1,687330,621363,641793,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717214,1,HOU,TB,1,1,1,0,0,0,0,514888,665161,663656,608324,670541,547989,10,673237,676694,676801.0,False,686613.0,650556,593576,606160,641585,608665,656786,592773,664299,519151,667452,455117,643289,666197,650490,677551,664040,668227,670623,10,642350,622534,542194,623912.0,False,671737.0,518617,542888,664126,607192,663556,592094,596112,676534,621107,666139,650907,660644,670042,0,False,0,False,pitcher,656232,664208,-1,-1,-1,-1,-1,-1,687330,621363,641793,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717214,1,HOU,TB,1,1,1,0,0,0,0,514888,665161,663656,608324,670541,547989,10,673237,676694,676801.0,False,686613.0,650556,593576,606160,641585,608665,656786,592773,664299,519151,667452,455117,643289,666197,650490,677551,664040,668227,670623,10,642350,622534,542194,623912.0,False,671737.0,518617,542888,664126,607192,663556,592094,596112,676534,621107,666139,650907,660644,670042,0,False,0,False,chance,656232,664208,-1,-1,-1,-1,-1,-1,687330,621363,641793,-1,-1,-1,-1,-1,,___-1
2023-07-29,717215,1,NYM,WSH,0,1,1,0,0,0,0,607043,596019,10,502054,643446,592192,682626,668901,664901,624413.0,False,471911.0,493603,500779,673540,656849,701643,622098,657585,641627,548384,553882,596129,683146,621466,682928,657041,600869,10,671277,642086,656448,656180,669743,608841.0,False,571578.0,670329,592866,666168,680686,686747,607179,640448,600921,669022,572816,545121,656308,660688,0,False,0,False,batter,608678,434378,-1,-1,-1,-1,-1,-1,663623,676265,-1,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717215,1,NYM,WSH,0,1,1,0,0,0,0,607043,596019,10,502054,643446,592192,682626,668901,664901,624413.0,False,471911.0,493603,500779,673540,656849,701643,622098,657585,641627,548384,553882,596129,683146,621466,682928,657041,600869,10,671277,642086,656448,656180,669743,608841.0,False,571578.0,670329,592866,666168,680686,686747,607179,640448,600921,669022,572816,545121,656308,660688,0,False,0,False,pitcher,608678,434378,-1,-1,-1,-1,-1,-1,663623,676265,-1,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717215,1,NYM,WSH,0,1,1,0,0,0,0,607043,596019,10,502054,643446,592192,682626,668901,664901,624413.0,False,471911.0,493603,500779,673540,656849,701643,622098,657585,641627,548384,553882,596129,683146,621466,682928,657041,600869,10,671277,642086,656448,656180,669743,608841.0,False,571578.0,670329,592866,666168,680686,686747,607179,640448,600921,669022,572816,545121,656308,660688,0,False,0,False,chance,608678,434378,-1,-1,-1,-1,-1,-1,663623,676265,-1,-1,-1,-1,-1,-1,,___-0
2023-07-29,717216,1,PIT,PHI,1,1,1,0,0,0,0,669261,668804,10,596847,680779,682848,669707,675961,678894,457705.0,False,682990.0,669796,622780,674370,656605,670059,664294,669387,621366,448179,595978,656582,641943,693304,10,592206,547180,664761,681082,592663,607208,669016,595909,656941.0,False,605400.0,628708,650911,554430,592229,642397,607755,656546,592836,622554,624641,543281,596117,679032,0,False,0,False,batter,670912,660787,670280,-1,-1,-1,-1,-1,621381,624133,518886,656793,-1,-1,-1,-1,,play at bat
2023-07-29,717216,1,PIT,PHI,1,1,1,0,0,0,0,669261,668804,10,596847,680779,682848,669707,675961,678894,457705.0,False,682990.0,669796,622780,674370,656605,670059,664294,669387,621366,448179,595978,656582,641943,693304,10,592206,547180,664761,681082,592663,607208,669016,595909,656941.0,False,605400.0,628708,650911,554430,592229,642397,607755,656546,592836,622554,624641,543281,596117,679032,0,False,0,False,pitcher,670912,660787,670280,-1,-1,-1,-1,-1,621381,624133,518886,656793,-1,-1,-1,-1,,play at bat
2023-07-29,717216,1,PIT,PHI,1,1,1,0,0,0,0,669261,668804,10,596847,680779,682848,669707,675961,678894,457705.0,False,682990.0,669796,622780,674370,656605,670059,664294,669387,621366,448179,595978,656582,641943,693304,10,592206,547180,664761,681082,592663,607208,669016,595909,656941.0,False,605400.0,628708,650911,554430,592229,642397,607755,656546,592836,622554,624641,543281,596117,679032,0,False,0,False,chance,670912,660787,670280,-1,-1,-1,-1,-1,621381,624133,518886,656793,-1,-1,-1,-1,,1__-0
2023-07-29,717217,1,CWS,CLE,1,1,1,0,0,0,0,641313,660162,673357,10,669394,683734,518735,693049,621545,650391.0,False,605182.0,666619,679346,543766,656302,656629,669947,607481,641871,621383,657757,664874,643217,462101,680757,665926,608070,647304,10,686823,671289,666310,664702,605137.0,False,671106.0,669212,680704,596057,661403,660853,547184,675540,650644,656529,595956,660757,672356,681807,0,False,0,False,batter,686539,671111,-1,-1,-1,-1,-1,-1,663986,668909,676440,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717217,1,CWS,CLE,1,1,1,0,0,0,0,641313,660162,673357,10,669394,683734,518735,693049,621545,650391.0,False,605182.0,666619,679346,543766,656302,656629,669947,607481,641871,621383,657757,664874,643217,462101,680757,665926,608070,647304,10,686823,671289,666310,664702,605137.0,False,671106.0,669212,680704,596057,661403,660853,547184,675540,650644,656529,595956,660757,672356,681807,0,False,0,False,pitcher,686539,671111,-1,-1,-1,-1,-1,-1,663986,668909,676440,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717217,1,CWS,CLE,1,1,1,0,0,0,0,641313,660162,673357,10,669394,683734,518735,693049,621545,650391.0,False,605182.0,666619,679346,543766,656302,656629,669947,607481,641871,621383,657757,664874,643217,462101,680757,665926,608070,647304,10,686823,671289,666310,664702,605137.0,False,671106.0,669212,680704,596057,661403,660853,547184,675540,650644,656529,595956,660757,672356,681807,0,False,0,False,chance,686539,671111,-1,-1,-1,-1,-1,-1,663986,668909,676440,-1,-1,-1,-1,-1,,1__-0
2023-07-29,717218,1,MIA,DET,0,1,1,0,0,0,0,650333,10,650559,643265,542932,621563,516416,607732,667472,624585.0,False,456501.0,666200,666129,645261,665795,623211,595345,693759,656945,666277,493329,641658,663743,660821,656716,682985,679529,681481,595879,10,665155,668731,606992,408234.0,False,689225.0,593958,669373,592741,681857,663947,671345,666159,666214,547179,670097,668670,663837,628451,0,False,0,False,batter,640462,605347,608638,502085,-1,-1,-1,-1,686839,542585,656638,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717218,1,MIA,DET,0,1,1,0,0,0,0,650333,10,650559,643265,542932,621563,516416,607732,667472,624585.0,False,456501.0,666200,666129,645261,665795,623211,595345,693759,656945,666277,493329,641658,663743,660821,656716,682985,679529,681481,595879,10,665155,668731,606992,408234.0,False,689225.0,593958,669373,592741,681857,663947,671345,666159,666214,547179,670097,668670,663837,628451,0,False,0,False,pitcher,640462,605347,608638,502085,-1,-1,-1,-1,686839,542585,656638,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717218,1,MIA,DET,0,1,1,0,0,0,0,650333,10,650559,643265,542932,621563,516416,607732,667472,624585.0,False,456501.0,666200,666129,645261,665795,623211,595345,693759,656945,666277,493329,641658,663743,660821,656716,682985,679529,681481,595879,10,665155,668731,606992,408234.0,False,689225.0,593958,669373,592741,681857,663947,671345,666159,666214,547179,670097,668670,663837,628451,0,False,0,False,chance,640462,605347,608638,502085,-1,-1,-1,-1,686839,542585,656638,-1,-1,-1,-1,-1,,___-1
2023-07-29,717219,1,BAL,NYY,0,1,1,0,0,0,0,668939,683002,623993,656811,10,624428,669720,681297,602104,663624.0,False,669330.0,665152,657508,660261,608344,680570,672335,642585,666974,641329,622761,663630,676059,543510,650402,592450,10,519203,518934,643396,664056,683011,543309,519317.0,False,657376.0,622663,650633,656061,593334,607074,593974,641656,592454,605280,666163,641343,656185,641856,0,False,0,False,batter,502043,543056,-1,-1,-1,-1,-1,-1,676760,543037,598286,-1,-1,-1,-1,-1,,play at bat
