Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Single,False,1,Top,1,0,0,,,,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Groundout,False,1,Top,2,0,0,,,676116,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Lineout,False,1,Top,3,0,1,,676116,,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Strikeout,False,1,Top,4,0,2,,676116,,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Strikeout,False,1,Bot,5,0,0,,,,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Strikeout,False,1,Bot,6,0,1,,,,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Single,False,1,Bot,7,0,2,,,,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Walk,False,1,Bot,8,0,2,,,456781,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Walk,False,1,Bot,9,0,2,,456781,596146,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
Walk,False,1,Bot,10,0,2,456781,596146,666135,641927,621112,666397,676116,593871,680869,456781,667670,596146,664913,666135,669127,571657,672478,670242,671732,543877,669397,572191,665923,666397,667670,543877,669127,666135,676116,593871,680869,456781,672478,571657,669397,670242,665923,572191,671732,596146,664913
