Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Single,False,1,Top,1,0,0,,,,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Single,False,1,Top,2,0,0,,,650333,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Strikeout,False,1,Top,3,0,0,,650333,605137,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Pop Out,False,1,Top,4,0,1,,650333,605137,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Double,False,1,Top,5,0,2,,650333,605137,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Strikeout,False,1,Top,6,-1,2,605137,650559,,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Groundout,False,1,Bot,7,-1,0,,,,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Hit By Pitch,False,1,Bot,8,-1,1,,,,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Flyout,False,1,Bot,9,-1,1,,,608841,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
Pop Out,False,1,Bot,10,-1,2,,,608841,672851,666129,682928,650333,608841,605137,660688,669394,666198,665862,642086,650559,669743,660821,656308,641658,666906,621563,696285,663743,608841,669394,660688,663743,642086,605137,656308,650333,666198,641658,682928,621563,666906,650559,696285,665862,669743,660821
