Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Single,False,1,Top,1,0,0,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Lineout,False,1,Top,2,0,0,,,624585,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Grounded Into DP,False,1,Top,3,0,1,,,624585,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Double,False,1,Bot,4,0,0,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Walk,False,1,Bot,5,0,0,,656582,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Pop Out,False,1,Bot,6,0,0,,656582,668804,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Grounded Into DP,False,1,Bot,7,0,1,,656582,668804,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Strikeout,False,2,Top,8,0,0,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Pop Out,False,2,Top,9,0,1,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Walk,False,2,Top,10,0,2,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Single,False,2,Top,11,0,2,,,542932,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Strikeout,False,2,Top,12,0,2,542932,,660821,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Strikeout,False,2,Bot,13,0,0,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Pop Out,False,2,Bot,14,0,1,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Pop Out,False,2,Bot,15,0,2,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Pitching Substitution,True,3,Top,16,0,0,,,,674370,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Single,False,3,Top,16,0,0,,,,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Grounded Into DP,False,3,Top,17,0,0,,,607732,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Groundout,False,3,Top,18,0,2,,,,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Walk,False,3,Bot,19,0,0,,,,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Single,False,3,Bot,20,0,0,,,682848,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Single,False,3,Bot,21,0,0,,682848,678894,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Strikeout,False,3,Bot,22,0,0,682848,678894,656582,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Groundout,False,3,Bot,23,0,1,682848,678894,656582,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Groundout,False,3,Bot,24,1,2,678894,656582,,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
Double,False,4,Top,25,1,0,,,,676702,665795,656582,624585,668804,605137,663647,669394,669261,665862,669707,650559,680779,542932,641943,660821,682848,641658,678894,607732,680779,624585,682848,607732,656582,605137,669707,542932,663647,669394,678894,641658,668804,650559,669261,665862,641943,660821
