Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Single,False,1,Top,1,0,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Flyout,False,1,Top,2,0,0,,,681082,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Walk,False,1,Top,3,0,1,,,681082,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,1,Top,4,0,1,,681082,656941,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,True,1,Top,5,-1,1,,656941,592206,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,1,Top,6,-1,1,656941,592206,669016,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,1,Top,7,-1,2,656941,592206,669016,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Stolen Base 2B,True,1,Top,8,-3,2,669016,,664761,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Groundout,False,1,Top,8,-3,2,669016,664761,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,1,Bot,9,-3,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Groundout,False,1,Bot,10,-3,1,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Hit By Pitch,False,1,Bot,11,-3,2,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Flyout,False,1,Bot,12,-3,2,,,683734,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Groundout,False,2,Top,13,-3,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,2,Top,14,-3,1,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Walk,False,2,Top,15,-3,2,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Flyout,False,2,Top,16,-3,2,,,607208,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Lineout,False,2,Bot,17,-3,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,2,Bot,18,-3,1,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,2,Bot,19,-3,2,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Top,20,-3,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,3,Top,21,-3,0,,,592206,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Top,22,-3,1,,,592206,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Walk,False,3,Top,23,-3,1,,592206,592663,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Strikeout,False,3,Top,24,-3,1,592206,592663,664761,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Top,25,-3,2,592206,592663,664761,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Flyout,False,3,Top,26,-5,2,664761,,543281,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Bot,27,-5,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Bot,28,-5,0,,,672820,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Game Advisory,False,3,Bot,29,-5,0,,672820,462101,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Bot,29,-5,0,,672820,462101,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Double,False,3,Bot,30,-5,0,672820,462101,643217,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Bot,31,-3,0,643217,673357,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Single,False,3,Bot,32,-1,0,,,683734,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Flyout,False,3,Bot,33,-1,0,,683734,650391,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Forceout,False,3,Bot,34,-1,1,,683734,650391,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Groundout,False,3,Bot,35,-1,2,683734,,669394,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Groundout,False,4,Top,36,-1,0,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
Groundout,False,4,Top,37,-1,1,,,,458681,554430,643217,681082,673357,607208,683734,656941,650391,592206,518735,669016,669394,592663,693049,664761,672820,595909,462101,543281,650391,592206,518735,592663,683734,664761,672820,681082,669394,543281,462101,607208,643217,656941,673357,669016,693049,595909
