Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Double,False,1,Top,1,0,0,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Strikeout,False,1,Top,2,0,0,,680977,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Home Run,False,1,Top,3,0,1,,680977,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Flyout,False,1,Top,4,0,1,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Walk,False,1,Top,5,0,2,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Strikeout,False,1,Top,6,0,2,,,691023,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Groundout,False,1,Bot,7,0,0,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Groundout,False,1,Bot,8,0,1,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Home Run,False,1,Bot,9,0,2,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Strikeout,False,1,Bot,10,-1,2,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Pop Out,False,2,Top,11,-1,0,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Field Error,False,2,Top,12,-1,1,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Walk,False,2,Top,13,-1,1,,,668800,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Single,False,2,Top,14,-1,1,,668800,669242,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Double,False,2,Top,15,-2,1,669242,,680977,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Strikeout,False,2,Top,16,-4,1,,502671,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Strikeout,False,2,Top,17,-4,2,,502671,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Groundout,False,2,Bot,18,-4,0,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Flyout,False,2,Bot,19,-4,1,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Hit By Pitch,False,2,Bot,20,-4,2,,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Triple,False,2,Bot,21,-4,2,,,643446,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Walk,False,2,Bot,22,-3,2,500871,,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Wild Pitch,False,2,Bot,23,-3,2,500871,,592192,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
Double,False,2,Bot,23,-3,2,500871,592192,,471911,669461,607043,680977,516782,502671,596019,571448,624413,669357,502054,691023,682626,666185,643446,657557,500871,668800,592192,669242,502054,502671,682626,668800,624413,680977,643446,669357,500871,571448,596019,657557,592192,691023,607043,669242,516782,666185
