Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Lineout,False,1,Top,1,0,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,1,Top,2,0,1,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Flyout,False,1,Top,3,0,1,,,664761,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Stolen Base 2B,True,1,Top,4,0,2,,,664761,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,1,Top,4,0,2,,664761,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,1,Top,5,0,2,,664761,592663,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Single,False,1,Bot,6,0,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Home Run,False,1,Bot,7,0,0,,,650333,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Lineout,False,1,Bot,8,2,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Double,False,1,Bot,9,2,1,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,1,Bot,10,2,1,,665862,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,1,Bot,11,2,2,,665862,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,2,Top,12,2,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,2,Top,13,2,0,,,607208,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Grounded Into DP,False,2,Top,14,2,0,,607208,669016,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,2,Top,15,2,2,607208,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,2,Bot,16,2,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Groundout,False,2,Bot,17,2,1,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Groundout,False,2,Bot,18,2,2,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Groundout,False,3,Top,19,2,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,3,Top,20,2,1,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Single,False,3,Top,21,2,1,,,664761,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Wild Pitch,False,3,Top,22,2,1,,664761,547180,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,3,Top,22,2,1,664761,547180,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Lineout,False,3,Top,23,2,2,664761,547180,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Lineout,False,3,Bot,24,2,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Single,False,3,Bot,25,2,1,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Flyout,False,3,Bot,26,2,1,,,624585,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Pop Out,False,3,Bot,27,2,2,,,624585,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Single,False,4,Top,28,2,0,,,,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,4,Top,29,2,0,,,607208,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Pitching Substitution,True,4,Top,30,2,0,,607208,669016,665795,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Sac Bunt,True,4,Top,30,2,0,,607208,669016,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Double,False,4,Top,31,2,1,607208,669016,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,4,Top,32,0,1,,679032,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Groundout,False,4,Top,33,0,2,,679032,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Walk,False,4,Bot,34,0,0,,,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Grounded Into DP,False,4,Bot,35,0,0,,,643265,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Groundout,False,4,Bot,36,0,2,,,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Strikeout,False,5,Top,37,0,0,,,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Single,False,5,Top,38,0,1,,,,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Game Advisory,False,5,Top,39,0,1,,,592663,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Flyout,False,5,Top,39,0,1,,,592663,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
Forceout,False,5,Top,40,0,2,,,592663,595345,592836,650333,656941,624585,664761,650559,547180,665862,592663,643265,681082,542932,607208,621563,669016,516416,595909,663743,679032,624585,547180,663743,592663,643265,595909,650333,681082,516416,664761,621563,607208,542932,656941,665862,679032,650559,669016
