Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Walk,False,1,Top,1,0,0,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Single,False,1,Top,2,0,0,,,681082,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Grounded Into DP,False,1,Top,3,0,0,,681082,607208,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Flyout,False,1,Top,4,0,2,681082,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Walk,False,1,Bot,5,0,0,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,1,Bot,6,0,0,,,664774,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,1,Bot,7,0,1,,,664774,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Flyout,False,1,Bot,8,0,2,,,664774,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Groundout,False,2,Top,9,0,0,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Double,False,2,Top,10,0,1,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Stolen Base 3B,True,2,Top,11,0,1,,592663,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Groundout,False,2,Top,11,0,1,592663,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Walk,False,2,Top,12,0,2,592663,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Stolen Base 2B,True,2,Top,13,0,2,592663,,669016,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Walk,False,2,Top,13,0,2,592663,669016,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Lineout,False,2,Top,14,0,2,592663,669016,665019,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Flyout,False,2,Bot,15,0,0,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,2,Bot,16,0,1,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Groundout,False,2,Bot,17,0,2,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Flyout,False,3,Top,18,0,0,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Walk,False,3,Top,19,0,1,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,3,Top,20,0,1,,,547180,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Walk,False,3,Top,21,0,2,,,547180,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,3,Top,22,0,2,,547180,656941,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Single,False,3,Bot,23,0,0,,,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Flyout,False,3,Bot,24,0,0,,,666165,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Single,False,3,Bot,25,0,1,,,666165,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Single,False,3,Bot,26,0,1,666165,664774,,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,3,Bot,27,1,1,664774,,642731,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Single,False,3,Bot,28,1,2,664774,,642731,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
Strikeout,False,3,Bot,29,2,2,,642731,624424,502171,554430,664774,681082,642731,607208,605204,547180,624424,592206,571745,656941,573262,592663,669477,664761,666165,669016,663698,665019,666165,547180,663698,592663,664774,665019,642731,681082,605204,664761,669477,607208,571745,656941,573262,669016,624424,592206
