Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Walk,False,1,Top,1,0,0,,,,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Lineout,False,1,Top,2,0,0,,,595777,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Single,False,1,Top,3,0,1,,,595777,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Grounded Into DP,False,1,Top,4,0,1,,595777,641857,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Home Run,False,1,Bot,5,0,0,,,,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Groundout,False,1,Bot,6,1,0,,,,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Lineout,False,1,Bot,7,1,1,,,,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Walk,False,1,Bot,8,1,2,,,,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Home Run,False,1,Bot,9,1,2,,,572233,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
Groundout,False,1,Bot,10,3,2,,,,668678,607536,606466,595777,656896,545341,666971,641857,572233,553869,446334,592178,682998,605612,605113,666134,672515,686668,664983,678662,446334,545341,672515,553869,572233,666134,606466,605612,656896,641857,605113,678662,666971,595777,682998,686668,664983,592178
