Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Double,False,1,Top,1,0,0,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Single,False,1,Top,2,0,0,,666624,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Sac Fly,False,1,Top,3,0,0,666624,,663538,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Flyout,False,1,Top,4,-1,1,,,663538,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Caught Stealing 2B,True,1,Top,5,-1,2,,,663538,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Strikeout,False,1,Bot,6,-1,0,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Strikeout,False,1,Bot,7,-1,1,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Flyout,False,1,Bot,8,-1,2,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Groundout,False,2,Top,9,-1,0,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Double,False,2,Top,10,-1,1,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Walk,False,2,Top,11,-1,1,,664023,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Single,False,2,Top,12,-1,1,,664023,621550,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Strikeout,False,2,Top,13,-1,1,664023,621550,665804,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Forceout,False,2,Top,14,-1,2,664023,621550,665804,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Strikeout,False,2,Bot,15,-1,0,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Flyout,False,2,Bot,16,-1,1,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Double,False,2,Bot,17,-1,2,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Groundout,False,2,Bot,18,-1,2,,678662,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Single,False,3,Top,19,-1,0,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Single,False,3,Top,20,-1,0,,,663538,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Double,False,3,Top,21,-1,0,,663538,641355,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Sac Fly,False,3,Top,22,-2,0,641355,621020,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Pop Out,False,3,Top,23,-3,1,621020,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Flyout,False,3,Top,24,-3,2,621020,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Bunt Groundout,True,3,Bot,25,-3,0,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Groundout,False,3,Bot,26,-3,1,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
Pop Out,False,3,Bot,27,-3,2,,,,621389,592791,666134,666624,696100,663538,592178,641355,660707,621020,641857,673548,678662,664023,663898,621550,686668,665804,642851,691718,660707,666624,642851,665804,592178,641355,663898,663538,641857,621550,678662,621020,666134,664023,686668,691718,696100,673548
