Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Groundout,False,1,Top,1,0,0,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Groundout,False,1,Top,2,0,1,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Groundout,False,1,Top,3,0,2,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Groundout,False,1,Bot,4,0,0,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Strikeout,False,1,Bot,5,0,1,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Strikeout,False,1,Bot,6,0,2,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Home Run,False,2,Top,7,0,0,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Groundout,False,2,Top,8,-1,0,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Groundout,False,2,Top,9,-1,1,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
Single,False,2,Top,10,-1,2,,,,678394,607192,678882,666018,677800,691406,457759,668227,657077,666139,596115,670623,807799,623912,666915,670764,665839,622534,657136,542194,807799,623912,657136,542194,457759,670623,665839,666018,666915,691406,596115,670764,677800,668227,678882,622534,657077,666139
