Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Flyout,False,1,Top,1,0,0,,,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,1,Top,2,0,1,,,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Single,False,1,Top,3,0,2,,,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Lineout,False,1,Top,4,0,2,,,608841,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,1,Bot,5,0,0,,,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Double,False,1,Bot,6,0,1,,,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Pop Out,False,1,Bot,7,0,1,,624585,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,1,Bot,8,0,2,,624585,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Pitching Substitution,True,2,Top,9,0,0,,,,608638,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,2,Top,9,0,0,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Single,False,2,Top,10,0,1,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,2,Top,11,0,1,,,666906,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Wild Pitch,False,2,Top,12,0,2,,,666906,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Walk,False,2,Top,12,0,2,,666906,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,2,Top,13,0,2,,666906,545121,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,2,Bot,14,0,0,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,2,Bot,15,0,1,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Walk,False,2,Bot,16,0,2,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Single,False,2,Bot,17,0,2,,,660821,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,2,Bot,18,0,2,,660821,607732,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Single,False,3,Top,19,0,0,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Double,False,3,Top,20,0,0,,,682928,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,3,Top,21,0,0,682928,657041,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,3,Top,22,0,1,682928,657041,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,3,Top,23,-1,2,657041,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Single,False,3,Bot,24,-1,0,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Home Run,False,3,Bot,25,-1,0,,,650333,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,3,Bot,26,1,0,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,3,Bot,27,1,1,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Pop Out,False,3,Bot,28,1,2,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Strikeout,False,4,Top,29,1,0,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,4,Top,30,1,1,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
Groundout,False,4,Top,31,1,2,,,,663773,592866,650333,682928,624585,657041,605137,608841,665862,642086,669394,666198,650559,666906,660821,656180,607732,545121,542932,696285,624585,608841,607732,656180,605137,642086,650333,545121,669394,666198,542932,682928,650559,666906,665862,696285,660821,657041
