Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Double,False,1,Top,1,0,0,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Single,False,1,Top,2,0,0,,668942,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Grounded Into DP,False,1,Top,3,-1,0,,,606466,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Groundout,False,1,Top,4,-1,2,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Hit By Pitch,False,1,Bot,5,-1,0,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Grounded Into DP,False,1,Bot,6,-1,0,,,680977,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Strikeout,False,1,Bot,7,-1,2,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Lineout,False,2,Top,8,-1,0,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Walk,False,2,Top,9,-1,1,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Grounded Into DP,False,2,Top,10,-1,1,,,656976,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Pop Out,False,2,Bot,11,-1,0,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Single,False,2,Bot,12,-1,1,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Flyout,False,2,Bot,13,-1,1,,,669357,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Groundout,False,2,Bot,14,-1,2,,,669357,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
Groundout,False,3,Top,15,-1,0,,,,656427,518876,680977,668942,676475,606466,575929,666971,571448,572233,669357,682998,641933,656976,663457,672515,691023,677950,669242,672695,676475,656976,575929,672515,680977,572233,669357,606466,571448,668942,669242,672695,641933,666971,663457,677950,691023,682998
