Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Home Run,False,3,Top,18,0,0,,,,668909,693821,680757,660670,642708,645277,608070,663586,647304,621566,665926,669221,605137,542303,686823,592696,664702,606115,666310,671739,605137,542303,666310,669221,647304,621566,665926,645277,608070,663586,642708,606115,680757,592696,664702,671739,686823,660670
Single,False,3,Top,20,-1,0,,,660670,668909,693821,680757,660670,642708,645277,608070,663586,647304,621566,665926,669221,605137,542303,686823,592696,664702,606115,666310,671739,605137,542303,666310,669221,647304,621566,665926,645277,608070,663586,642708,606115,680757,592696,664702,671739,686823,660670
Home Run,False,4,Top,28,-2,0,,,,668909,693821,680757,660670,642708,645277,608070,663586,647304,621566,665926,669221,605137,542303,686823,592696,664702,606115,666310,671739,605137,542303,666310,669221,647304,621566,665926,645277,608070,663586,642708,606115,680757,592696,664702,671739,686823,660670
Home Run,False,5,Top,34,-3,0,,,,668909,693821,680757,660670,642708,645277,608070,663586,647304,621566,665926,669221,605137,542303,686823,592696,664702,606115,666310,671739,605137,542303,666310,669221,647304,621566,665926,645277,608070,663586,642708,606115,680757,592696,664702,671739,686823,660670
