Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Strikeout,False,1,Top,1,0,0,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Single,False,1,Top,2,0,1,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Flyout,False,1,Top,3,0,1,,,665487,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Single,False,1,Top,4,0,2,,,665487,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,1,Top,5,0,2,665487,,592518,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Groundout,False,1,Bot,6,0,0,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Double,False,1,Bot,7,0,1,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Double,False,1,Bot,8,0,1,,682998,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Single,False,1,Bot,9,1,1,,502054,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,1,Bot,10,1,1,,502054,572233,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Stolen Base 3B,True,1,Bot,11,1,2,,502054,572233,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Lineout,False,1,Bot,11,1,2,502054,,572233,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Groundout,False,2,Top,12,1,0,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,2,Top,13,1,1,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,2,Top,14,1,2,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Pop Out,False,2,Bot,15,1,0,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Lineout,False,2,Bot,16,1,1,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,2,Bot,17,1,2,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,3,Top,18,1,0,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Flyout,False,3,Top,19,1,1,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,3,Top,20,1,2,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Lineout,False,3,Bot,21,1,0,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Strikeout,False,3,Bot,22,1,1,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Double,False,3,Bot,23,1,2,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Home Run,False,3,Bot,24,1,2,,502054,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Single,False,3,Bot,25,3,2,,,,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
Walk,False,3,Bot,26,3,2,,,666971,668678,448179,606466,673490,682998,665487,502054,665742,572233,592518,666971,593428,671083,630105,664983,669134,605113,640492,608348,663757,666971,665487,608348,669134,572233,630105,606466,673490,671083,592518,605113,593428,502054,665742,682998,663757,664983,640492
