Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Lineout,False,1,Top,1,0,0,,,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Groundout,False,1,Top,2,0,1,,,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Strikeout,False,1,Top,3,0,2,,,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Field Error,False,1,Bot,4,0,0,,,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Wild Pitch,False,1,Bot,5,0,0,,,656941,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Walk,False,1,Bot,5,0,0,,656941,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Strikeout,False,1,Bot,6,0,0,,656941,607208,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Single,False,1,Bot,7,0,1,,656941,607208,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Walk,False,1,Bot,8,1,1,,607208,547180,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Sac Fly,False,1,Bot,9,1,1,607208,547180,592663,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Lineout,False,1,Bot,10,2,2,547180,,592663,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Double,False,2,Top,11,2,0,,,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Strikeout,False,2,Top,12,2,0,,624413,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Groundout,False,2,Top,13,2,1,,624413,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
Groundout,False,2,Top,14,2,2,,624413,,592836,673540,656941,607043,607208,516782,592206,596019,547180,624413,592663,596129,681082,502054,664761,643446,669016,682626,624641,683146,547180,596129,592663,682626,664761,624413,681082,643446,624641,683146,607208,596019,656941,502054,669016,607043,592206,516782
