Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Flyout,False,1,Top,1,0,0,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Field Error,False,1,Top,2,0,1,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Grounded Into DP,False,1,Top,3,0,1,,,686681,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Groundout,False,1,Bot,4,0,0,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Groundout,False,1,Bot,5,0,1,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Walk,False,1,Bot,6,0,2,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Flyout,False,1,Bot,7,0,2,,,681584,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Lineout,False,2,Top,8,0,0,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Game Advisory,False,2,Top,9,0,1,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Single,False,2,Top,9,0,1,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Single,False,2,Top,10,0,1,,,664728,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Single,False,2,Top,11,0,1,664728,,641531,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Strikeout,False,2,Top,12,-1,1,641531,,670032,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Pop Out,False,2,Top,13,-1,2,641531,,670032,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
Single,False,2,Bot,14,-1,0,,,,502171,641745,664774,669004,624424,686681,681584,521692,592626,686469,573262,664728,642731,641531,543063,670032,666165,598265,547379,622110,592626,686469,547379,521692,664774,641531,642731,686681,681584,622110,543063,670032,666165,598265,573262,664728,624424,669004
