Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Hit By Pitch,False,1,Top,1,0,0,,,,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Walk,False,1,Top,2,0,0,,,663457,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Grounded Into DP,False,1,Top,3,0,0,,663457,502671,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Walk,False,1,Top,4,0,2,663457,,,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Walk,False,1,Top,5,0,2,663457,,669357,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,1,Top,6,0,2,663457,669357,575929,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,1,Bot,7,0,0,,,,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,1,Bot,8,0,0,,,672580,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,1,Bot,9,0,0,,672580,677951,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,1,Bot,10,0,1,672580,,677951,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,1,Bot,11,2,1,,521692,,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,1,Bot,12,3,1,,669004,,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Grounded Into DP,False,1,Bot,13,4,1,,,658668,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,2,Top,14,4,0,,,,669395,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,2,Top,14,4,0,,,,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,2,Top,15,4,1,,,,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,2,Top,16,4,2,,,,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Home Run,False,2,Bot,17,4,0,,,,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,2,Bot,18,5,0,,,,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,2,Bot,19,5,0,,,664728,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Home Run,False,2,Bot,20,5,0,,664728,672580,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,2,Bot,21,8,0,,,,672582,425794,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,2,Bot,21,8,0,,,,672582,668868,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Home Run,False,2,Bot,22,8,1,,,,672582,668868,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,2,Bot,23,9,1,,,,672582,668868,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,2,Bot,24,9,2,,,,672582,668868,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Defensive Sub,True,3,Top,25,9,0,,,,672582,668868,672580,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,672580,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,3,Top,25,9,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,3,Top,26,9,0,,,663457,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Field Error,False,3,Top,27,9,1,,,663457,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Walk,False,3,Top,28,9,1,,663457,571448,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,3,Top,29,9,1,663457,571448,669357,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Lineout,False,3,Top,30,6,1,,575929,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,3,Top,31,6,2,,575929,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,3,Bot,32,6,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,3,Bot,33,6,1,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,3,Bot,34,6,2,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,4,Top,35,6,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,4,Top,36,6,1,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,4,Top,37,6,2,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Forceout,False,4,Top,38,6,2,,,663457,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,4,Bot,39,6,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,4,Bot,40,6,1,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Lineout,False,4,Bot,41,6,2,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,5,Top,42,6,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,5,Top,43,6,1,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,5,Top,44,6,2,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Home Run,False,5,Top,45,6,2,,,575929,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Lineout,False,5,Top,46,4,2,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,5,Bot,47,4,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,5,Bot,48,4,0,,,521692,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,5,Bot,49,4,1,,,521692,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,5,Bot,50,4,1,521692,658668,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,5,Bot,51,4,2,521692,658668,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,6,Top,52,4,0,,,,672582,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,6,Top,52,4,0,,,,663704,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,6,Top,53,4,1,,,,663704,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,6,Top,54,4,1,,669242,,663704,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,6,Top,55,3,2,,,,663704,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,6,Bot,56,3,0,,,,663704,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,6,Bot,57,3,0,,,664728,663704,668868,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Forceout,False,6,Bot,57,3,0,,,664728,663704,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Grounded Into DP,False,6,Bot,58,3,1,,,622110,663704,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,7,Top,59,3,0,,,,663704,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,7,Top,59,3,0,,,,621295,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Strikeout,False,7,Top,60,3,0,,,571448,621295,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Hit By Pitch,False,7,Top,61,3,1,,,571448,621295,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,7,Top,62,3,1,,571448,575929,621295,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,7,Top,63,3,2,571448,575929,,621295,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,7,Bot,64,3,0,,,,621295,664942,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Field Error,False,7,Bot,64,3,0,,,,621295,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Single,False,7,Bot,65,3,0,,686681,,621295,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,7,Bot,66,4,1,,,,621295,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Groundout,False,7,Bot,67,4,2,,,,621295,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pitching Substitution,True,8,Top,68,4,0,,,,621295,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Flyout,False,8,Top,68,4,0,,,,656353,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Double,False,8,Top,69,4,1,,,,656353,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
Pop Out,False,8,Top,70,4,1,,669242,,656353,669467,622110,663457,677951,502671,686681,571448,521692,669357,669004,575929,658668,641933,607461,676475,676369,691023,664728,669242,658668,502671,521692,575929,607461,676475,686681,669357,622110,571448,677951,669242,669004,641933,664728,663457,676369,691023
