Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Groundout,False,1,Top,1,0,0,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Single,False,1,Top,2,0,1,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Walk,False,1,Top,3,0,1,,,668939,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Forceout,False,1,Top,4,0,1,,668939,623993,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Stolen Base 2B,True,1,Top,5,0,2,668939,,656811,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Pop Out,False,1,Top,5,0,2,668939,656811,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Flyout,False,1,Bot,6,0,0,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Strikeout,False,1,Bot,7,0,1,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Flyout,False,1,Bot,8,0,2,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Pop Out,False,2,Top,9,0,0,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Lineout,False,2,Top,10,0,1,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
Walk,False,2,Top,11,0,2,,,,681190,665152,519203,683002,650402,668939,519317,623993,641343,656811,518626,656775,518934,543305,643396,681297,683011,676059,543309,624428,650402,543305,543309,668939,519203,656811,518934,624428,518626,676059,683011,683002,641343,681297,643396,656775,519317,623993
