game_pk,event_types
718768,Field Error,Double,Stolen Base 2B,Groundout,Home Run,Hit By Pitch,Pop Out,Forceout,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Catcher Interference,Pitching Substitution,Lineout,Fielders Choice Out,Wild Pitch,Grounded Into DP
718769,Walk,Strikeout,Intent Walk,Pop Out,Offensive Substitution,Flyout,Defensive Switch,Single,Double,Pitching Substitution,Wild Pitch,Stolen Base 2B,Groundout,Lineout,Forceout,Grounded Into DP
718772,Intent Walk,Game Advisory,Double,Stolen Base 2B,Groundout,Home Run,Caught Stealing 2B,Hit By Pitch,Injury,Pop Out,Sac Fly,Defensive Sub,Bunt Pop Out,Forceout,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Fielders Choice Out,Wild Pitch,Grounded Into DP
718777,Fielders Choice,Walk,Strikeout,Pop Out,Passed Ball,Flyout,Single,Pitching Substitution,Wild Pitch,Groundout,Lineout,Hit By Pitch,Forceout,Grounded Into DP
718770,Field Error,Sac Fly,Walk,Strikeout,Pop Out,Game Advisory,Flyout,Single,Double,Pitching Substitution,Home Run,Groundout,Lineout,Hit By Pitch,Grounded Into DP
718767,Walk,Strikeout,Pop Out,Game Advisory,Flyout,Single,Double,Pitching Substitution,Home Run,Stolen Base 2B,Groundout,Lineout,Hit By Pitch,Wild Pitch,Grounded Into DP
718780,Field Error,Game Advisory,Double,Stolen Base 2B,Groundout,Pop Out,Fielders Choice,Sac Fly,Defensive Sub,Forceout,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Wild Pitch,Grounded Into DP
718778,Field Error,Game Advisory,Double,Groundout,Home Run,Stolen Base 3B,Pop Out,Balk,Fielders Choice,Sac Fly,Defensive Sub,Forceout,Walk,Strikeout,Flyout,Single,Catcher Interference,Pitching Substitution,Lineout,Fielders Choice Out,Wild Pitch,Grounded Into DP
718779,Intent Walk,Game Advisory,Passed Ball,Double,Stolen Base 2B,Groundout,Home Run,Defensive Indiff,Stolen Base 3B,Pop Out,Triple,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Wild Pitch,Grounded Into DP
718776,Walk,Strikeout,Lineout,Pop Out,Offensive Substitution,Game Advisory,Flyout,Defensive Switch,Single,Double,Pitching Substitution,Home Run,Groundout,Forceout,Grounded Into DP
718782,Game Advisory,Double,Stolen Base 2B,Groundout,Home Run,Double Play,Pop Out,Fielders Choice,Sac Fly,Triple,Sac Bunt,Forceout,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Hit By Pitch,Wild Pitch,Grounded Into DP
718773,Field Error,Game Advisory,Double,Stolen Base 2B,Groundout,Home Run,Stolen Base 3B,Pop Out,Bunt Groundout,Sac Fly,Triple,Defensive Sub,Sac Bunt,Forceout,Strikeout Double Play,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Fielders Choice Out,Wild Pitch,Grounded Into DP
718775,Walk,Strikeout,Pop Out,Game Advisory,Triple,Flyout,Offensive Substitution,Defensive Switch,Single,Double,Pitching Substitution,Groundout,Lineout,Hit By Pitch,Grounded Into DP
718781,Walk,Strikeout,Pop Out,Offensive Substitution,Flyout,Defensive Switch,Defensive Sub,Single,Pitching Substitution,Balk,Stolen Base 2B,Groundout,Home Run,Grounded Into DP
718764,Walk,Strikeout,Stolen Base 3B,Pop Out,Game Advisory,Flyout,Double,Single,Pitching Substitution,Balk,Home Run,Stolen Base 2B,Groundout,Lineout,Hit By Pitch,Caught Stealing 2B,Grounded Into DP
718765,Walk,Strikeout,Pop Out,Offensive Substitution,Flyout,Defensive Switch,Single,Double,Pitching Substitution,Forceout,Home Run,Wild Pitch,Groundout,Lineout,Caught Stealing 2B
718763,Fielders Choice,Sac Fly,Walk,Strikeout,Double Play,Pop Out,Flyout,Defensive Sub,Double,Single,Pitching Substitution,Forceout,Stolen Base 2B,Groundout,Lineout,Hit By Pitch,Wild Pitch,Stolen Base 3B
718771,Walk,Strikeout,Lineout,Pop Out,Triple,Offensive Substitution,Flyout,Defensive Sub,Defensive Switch,Single,Double,Pitching Substitution,Stolen Base 2B,Groundout,Home Run,Caught Stealing 2B,Grounded Into DP
718766,Game Advisory,Double,Stolen Base 2B,Groundout,Home Run,Defensive Indiff,Pop Out,Sac Fly,Sac Bunt,Forceout,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Hit By Pitch,Grounded Into DP
718760,Field Error,Walk,Strikeout,Lineout,Pop Out,Game Advisory,Passed Ball,Flyout,Offensive Substitution,Single,Double,Pitching Substitution,Forceout,Stolen Base 2B,Groundout,Home Run,Hit By Pitch,Wild Pitch
718757,,Field Error,Game Advisory,Double,Groundout,Home Run,Lineout,Pop Out,Sac Fly,Defensive Sub,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Catcher Interference,Pitching Substitution,Forceout,Wild Pitch,Grounded Into DP
718759,Field Error,Walk,Strikeout,Double Play,Pop Out,Offensive Substitution,Flyout,Defensive Sub,Defensive Switch,Single,Pitching Substitution,Wild Pitch,Stolen Base 2B,Groundout,Lineout,Hit By Pitch,Forceout,Grounded Into DP
718758,Walk,Strikeout,Game Advisory,Offensive Substitution,Flyout,Defensive Sub,Defensive Switch,Single,Double,Pitching Substitution,Home Run,Stolen Base 2B,Groundout,Lineout,Forceout,Grounded Into DP
718749,Field Error,Game Advisory,Double,Groundout,Home Run,Caught Stealing 2B,Pop Out,Sac Fly,Defensive Sub,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Lineout,Hit By Pitch,Grounded Into DP
718746,,Field Error,Game Advisory,Double,Stolen Base 2B,Groundout,Home Run,Caught Stealing 2B,Lineout,Pop Out,Walk,Strikeout,Offensive Substitution,Flyout,Defensive Switch,Single,Pitching Substitution,Forceout,Wild Pitch,Grounded Into DP
718755,Sac Fly,Walk,Strikeout,Lineout,Pop Out,Game Advisory,Passed Ball,Flyout,Offensive Substitution,Defensive Switch,Single,Double,Pitching Substitution,Home Run,Groundout,Forceout,Fielders Choice Out,Grounded Into DP
718753,Walk,Strikeout,Lineout,Pop Out,Flyout,Defensive Sub,Single,Double,Pitching Substitution,Forceout,Groundout,Home Run,Wild Pitch,Grounded Into DP
